userId_1,userId_2,movieIds
1,2,333 3578 
1,3,527 1275 1587 2018 2090 2105 3703 
1,4,47 235 260 296 441 457 553 593 608 648 919 1025 1060 1073 1080 1136 1196 1197 1198 1213 1219 1265 1282 1291 1500 1517 1580 1617 1732 1967 2078 2174 2395 2406 2571 2628 2692 2858 2959 2997 3033 3176 3386 3489 3809 
1,5,1 50 110 296 316 349 367 457 527 590 592 596 608 
1,6,3 6 47 50 110 151 163 216 231 296 316 333 349 356 362 367 457 480 500 527 543 552 553 590 592 593 596 608 736 780 1042 1049 1073 
1,7,1 50 260 356 480 592 593 648 780 1196 1208 1210 1219 1220 1240 1270 1517 1617 1954 2353 2529 2628 2640 2858 3578 3793 
1,8,47 50 110 231 235 296 356 367 457 480 500 527 590 592 593 
1,9,223 923 1198 1270 2012 
1,10,296 356 2571 2858 2959 3578 
1,11,6 110 349 356 457 480 593 648 733 736 780 1210 1408 1552 1573 2028 
1,12,543 1265 
1,13,47 1198 2174 2571 3578 3793 
1,14,47 110 231 296 356 367 480 527 552 553 590 592 593 
1,15,1 47 260 296 356 527 596 780 1196 1198 1210 1214 1240 1265 1270 2012 2028 2329 2571 2858 2916 2959 3147 3578 3617 
1,16,47 50 260 296 356 527 593 608 923 1089 1136 1196 1197 1198 1208 1213 1214 1219 1222 1617 2329 2427 2571 2641 2858 2959 
1,17,1 47 50 110 260 296 356 480 527 590 592 593 780 1032 1089 1090 1196 1197 1198 1206 1210 1213 1222 1240 1258 1270 1291 1732 1967 2005 2028 2329 2502 2571 2858 2959 3147 3702 
1,18,1 6 47 50 70 110 163 223 231 235 260 296 356 367 457 480 500 527 590 593 608 648 673 780 919 923 1080 1089 1136 1196 1198 1206 1208 1210 1213 1214 1219 1222 1240 1270 1275 1291 1517 1580 1617 1625 1676 1732 1805 1954 2000 2012 2028 2058 2115 2268 2291 2329 2470 2542 2571 2692 2959 2997 3052 3147 3253 3578 3702 3793 
1,19,1 3 47 70 216 223 231 235 260 316 333 356 362 367 423 457 480 500 543 592 648 661 673 733 736 1031 1032 1049 1073 1089 1092 1097 1127 1136 1196 1197 1198 1210 1214 1219 1240 1256 1258 1265 1270 1278 1291 1377 1396 1500 1517 1552 1573 1580 1617 1625 1644 1676 1732 1777 1805 1920 1967 2000 2005 2012 2033 2046 2048 2054 2078 2094 2105 2115 2137 2139 2143 2174 2193 2253 2338 2387 2406 2414 2450 2470 2478 2502 2528 2571 2617 2628 2640 2641 2657 2700 2716 2797 2858 2916 2959 2985 2987 2997 3033 3034 3052 3176 3243 3247 3253 3273 3440 3448 3450 3479 3489 3578 3671 3740 3744 3793 3809 
1,20,362 596 661 919 1025 1029 1030 1031 1032 1073 1097 1282 2005 2018 2033 2048 2054 2078 2090 2096 2116 2137 2141 2161 2617 2657 2700 2761 2987 3034 3578 3744 3793 
1,21,1 260 296 356 367 480 500 592 648 733 780 1196 1198 1210 1214 1240 1265 1270 1291 1573 1580 2000 2012 2115 2174 2273 2529 2571 2617 2628 2700 2716 2858 2916 2947 2948 2949 2959 2985 2991 2993 3253 3489 3578 3617 3639 3793 
1,22,216 356 1042 2058 2959 3489 3578 
1,23,6 50 296 608 923 1080 1089 1136 1206 1208 1213 1214 1222 1258 1617 2542 2761 
1,24,6 50 296 316 356 457 552 593 608 733 780 1197 1198 1220 1265 1396 1580 2028 2115 2273 2571 2617 2916 3147 3578 
1,25,231 260 527 1198 2028 2571 3578 
1,26,47 296 349 356 457 592 593 
1,27,1 260 316 356 367 480 590 648 661 673 736 780 1097 1127 1196 1197 1198 1210 1222 1270 1396 1580 1920 2012 2046 2054 2094 2115 2161 2174 2406 2478 2529 2628 2640 2944 2985 3033 3062 3168 3247 3448 3479 3489 3809 5060 
1,28,6 47 50 110 260 296 316 349 356 457 480 527 553 590 592 593 608 733 736 780 1042 1080 1089 1092 1136 1196 1197 1198 1206 1208 1210 1213 1214 1222 1240 1256 1275 1517 1580 1587 1617 1625 1732 2000 2012 2028 2058 2105 2193 2268 2329 2353 2427 2502 2542 2571 2580 2628 2716 2858 2916 2944 2959 2985 2997 3033 3052 3147 3176 3386 3578 3702 3793 
1,29,50 296 316 356 780 1136 1198 1208 1213 1222 1224 1270 1408 1617 2028 2761 2872 2944 3441 3578 
1,30,110 260 1196 1198 1210 1240 1291 2571 
1,31,1 648 733 736 780 1073 1136 1196 1197 1198 1214 1240 1265 1270 1278 1282 5060 
1,32,1 3 6 50 260 296 527 553 592 593 608 648 661 733 736 780 1073 1080 1196 1197 1198 1224 
1,33,1 50 110 151 223 296 356 457 527 593 608 919 1060 1210 1213 1500 1580 1617 1777 1805 2028 2058 2268 2291 2542 2571 2580 
1,34,70 110 163 356 780 1580 2273 2571 2617 2628 2959 3052 3489 3617 3793 
1,35,50 231 235 316 590 592 
1,36,552 919 1090 1222 1278 1396 1500 1617 2012 2406 
1,37,231 296 316 349 356 457 590 592 593 661 1073 
1,38,50 110 151 163 223 235 296 356 367 457 480 500 527 552 590 592 593 648 736 
1,39,47 50 260 296 457 592 593 596 608 1025 1029 1032 1073 1089 1097 1127 1136 1196 1197 1198 1210 1213 1214 1219 1258 1270 1282 1291 1396 1408 1500 1617 1954 1967 2018 2078 2137 2174 2366 2459 2529 2571 2580 2692 2700 2858 2947 2987 2997 3034 3793 
1,40,1 110 151 163 216 223 231 235 296 316 362 367 457 553 590 592 
1,41,47 50 296 356 593 608 1089 1097 1206 1208 1213 1214 1219 1222 1258 1265 1732 1777 2028 2115 2268 2329 2571 2692 2858 2959 3578 
1,42,3 47 50 110 163 223 231 260 296 316 333 349 356 457 527 552 553 590 592 593 648 733 780 1042 1060 1089 1090 1097 1127 1196 1197 1210 1213 1222 1265 1270 1500 1517 1552 1573 1580 1617 1625 1644 1805 2000 2028 2094 2105 2115 2268 2329 2353 2406 2427 2478 2492 2502 2571 2580 2628 2641 2700 2716 2959 2987 2997 3033 3052 3176 3247 3253 3441 3448 3450 3527 3578 3617 3793 
1,43,1 3 47 110 231 296 316 349 356 362 367 457 480 500 552 553 590 592 596 648 661 1073 
1,44,1 3 6 260 648 661 673 733 736 780 1210 1517 1552 
1,45,1 6 50 70 110 216 223 231 260 296 316 333 356 362 367 441 457 480 500 543 552 590 593 648 733 780 919 1029 1042 1060 1073 1080 1097 1127 1136 1196 1197 1198 1210 1213 1240 1258 1265 1270 1282 1291 1377 1396 1500 1517 1573 1580 1676 1732 1777 2005 2012 2028 2046 2078 2094 2096 2105 2115 2174 2268 2329 2470 2492 2502 2528 2571 2580 2616 2628 2657 2700 2716 2797 2858 2916 2944 2947 2959 2985 2987 2997 3033 3052 3147 3176 3243 3247 3253 3273 3439 3489 3578 3617 3793 
1,46,1 50 110 231 316 349 367 457 590 592 593 
1,47,47 356 500 590 593 1097 1265 1580 2028 2291 2797 2959 3147 
1,48,780 1580 1625 2115 2353 2571 2617 2797 3793 
1,49,110 356 527 1097 1214 2028 2571 
1,50,1 296 356 593 596 608 923 1080 1136 1198 1206 1208 1258 1278 1291 1377 1580 1732 2018 2571 2657 2947 2959 3034 3168 
