user1,user2,pearson
26,1,0.7314
26,4,0.2563
26,5,-0.4688
26,6,0.4013
26,7,0.4271
26,8,-0.0272
26,10,0.9937
26,11,0.4309
26,13,1.0
26,14,0.1193
26,15,-0.3243
26,16,0.3678
26,17,-0.4237
26,18,0.1573
26,19,0.5443
26,20,-1.0
26,21,-0.0573
26,22,-1.0
26,23,-0.1438
26,24,-0.1325
26,27,-1.0
26,28,-0.7079
26,29,0.7442
26,31,0.1313
26,32,-0.1822
26,33,-0.1434
26,34,-0.9077
26,35,-0.1336
26,37,-0.1779
26,38,0.5233
26,39,-0.4896
26,40,-0.0961
26,41,-0.3489
26,42,-0.2692
26,43,0.3382
26,45,-0.2611
26,46,0.3545
26,47,-0.464
26,49,1.0
26,50,-0.5865
