user_1,user_2,credit
1,2,0.8
1,3,0.4286
1,4,0.7689
1,5,0.8462
1,6,0.7576
1,7,0.7615
1,8,0.84
1,9,0.96
1,10,0.4
1,11,0.825
1,12,0.8
1,13,0.9333
1,14,0.8
1,15,0.816
1,16,0.7077
1,17,0.8684
1,18,0.8143
1,19,0.7398
1,20,0.8
2,1,0.8
2,4,0.4
2,6,0.8
2,7,0.6667
2,8,0.4
2,10,0.68
2,11,0.6
2,13,1.0
2,15,0.76
2,16,0.76
2,17,0.8667
2,18,0.87
2,19,0.8
2,20,0.6
3,1,0.4571
3,4,0.6
3,6,0.3333
3,8,0.4
3,15,0.2
3,17,0.25
3,18,0.3
3,19,0.56
4,1,0.6889
4,2,1.0
4,5,0.6333
4,6,0.6963
4,7,0.7818
4,8,0.7556
4,9,0.8
4,10,0.7333
4,11,0.775
4,12,0.52
4,13,0.7714
4,14,0.7
4,15,0.6308
4,16,0.7407
4,17,0.7391
4,18,0.7857
4,19,0.736
4,20,0.75
5,1,0.8
5,2,1.0
5,4,0.8333
5,6,0.7278
5,7,0.8667
5,8,0.8421
5,10,0.7333
5,11,0.74
5,12,0.7333
5,13,1.0
5,14,0.8154
5,15,0.775
5,16,0.68
5,17,0.78
5,18,0.8333
5,19,0.8235
5,20,0.8857
6,1,0.7939
6,2,0.7
6,3,0.8667
6,4,0.6889
6,5,0.7444
6,7,0.8571
6,8,0.7727
6,9,0.5
6,10,0.8
6,11,0.8519
6,12,0.8444
6,13,0.9
6,14,0.8286
6,15,0.8429
6,16,0.74
6,17,0.7333
6,18,0.7696
6,19,0.7635
6,20,0.7524
7,1,0.8231
7,2,0.7333
7,4,0.7364
7,5,0.7333
7,6,0.8429
7,8,0.725
7,9,0.7667
7,10,0.7048
7,11,0.775
7,12,0.8
7,14,0.88
7,15,0.763
7,16,0.8
7,17,0.8
7,18,0.8306
7,19,0.7944
7,20,0.7125
8,1,0.8
8,2,1.0
8,4,0.8444
8,5,0.7158
8,6,0.7818
8,7,0.75
8,10,0.6
8,11,0.8154
8,12,0.9
8,14,0.8
8,15,0.8
8,16,0.7429
8,17,0.8333
8,18,0.8261
8,19,0.8
8,20,0.84
9,4,0.8
9,6,0.7
9,7,0.7667
9,10,1.0
9,13,1.0
9,15,0.8857
9,16,0.95
9,18,0.8308
9,19,0.825
10,1,0.6667
10,2,0.96
10,4,0.8222
10,5,0.8667
10,6,0.85
10,7,0.6571
10,8,0.9333
10,9,0.8
10,12,0.4
10,13,0.9333
10,15,0.7333
10,16,0.6857
10,17,0.6364
10,18,0.64
10,19,0.75
11,1,0.7625
11,2,0.9
11,4,0.825
11,5,0.64
11,6,0.7111
11,7,0.7875
11,8,0.8154
11,10,0.8
11,12,1.0
11,14,0.8727
11,15,0.9143
11,16,0.8
11,17,0.8615
11,18,0.7407
11,19,0.8313
12,1,0.9
12,4,0.72
12,5,0.8667
12,6,0.8444
12,7,0.8
12,8,0.8
12,10,0.84
12,11,0.4
12,14,1.0
12,15,0.8667
12,17,0.9
12,19,0.6923
12,20,0.8
13,1,0.7
13,2,1.0
13,4,0.8857
13,5,0.8
13,6,0.8
13,7,0.8667
13,8,0.8
13,9,0.8
13,10,0.8
13,11,0.6
13,14,0.8
13,15,0.84
13,16,0.85
13,17,0.7333
13,18,0.7429
13,19,0.7571
13,20,0.675
14,1,0.7692
14,2,0.8
14,4,0.85
14,5,0.7692
14,6,0.7762
14,7,0.6
14,8,0.8
14,10,0.9333
14,11,0.7273
14,12,0.6
14,13,0.9
14,15,0.84
14,16,0.9
14,17,0.8182
14,18,0.7895
14,19,0.83
14,20,0.8
15,1,0.792
15,2,0.84
15,3,1.0
15,4,0.7846
15,5,0.775
15,6,0.8286
15,7,0.7111
15,8,0.8
15,9,0.7429
15,10,0.7143
15,11,0.8286
15,12,0.8667
15,13,0.8
15,16,0.7429
15,17,0.7273
15,18,0.8025
15,19,0.8359
15,20,0.75
16,1,0.7846
16,2,0.6
16,3,0.9333
16,4,0.6741
16,5,0.72
16,6,0.78
16,7,0.675
16,8,0.6571
16,9,0.7
16,10,0.7143
16,11,0.65
16,14,0.8
16,15,0.7714
16,17,0.7422
16,18,0.7967
16,19,0.8667
16,20,0.8
17,1,0.9
17,2,0.8
17,3,0.9
17,4,0.8
17,5,0.9
17,6,0.8533
17,7,0.736
17,8,0.85
17,9,0.7
17,10,0.8364
17,11,0.8
17,12,0.8
17,13,0.9333
17,14,0.8727
17,15,0.7758
17,16,0.8133
17,18,0.8092
17,19,0.9053
17,20,0.9143
18,1,0.84
18,2,0.85
18,3,0.9
18,4,0.7857
18,5,0.8444
18,6,0.7348
18,7,0.7806
18,8,0.7913
18,9,0.8154
18,10,0.84
18,11,0.837
18,12,0.8
18,13,0.7714
18,14,0.7789
18,15,0.8253
18,16,0.82
18,17,0.8615
18,19,0.903
18,20,0.8774
19,1,0.8033
19,2,0.8
19,3,0.76
19,4,0.7093
19,5,0.8
19,6,0.7652
19,7,0.7556
19,8,0.7355
19,9,0.75
19,10,0.75
19,11,0.7562
19,12,0.8154
19,13,0.8429
19,14,0.69
19,15,0.7128
19,16,0.7867
19,17,0.7421
19,18,0.8178
19,20,0.8632
20,1,0.8
20,2,0.8
20,3,0.96
20,4,0.7417
20,5,0.8
20,6,0.8095
20,7,0.7312
20,8,0.72
20,9,0.8
20,10,0.8333
20,12,0.9333
20,13,0.775
20,14,0.6
20,15,0.7083
20,16,0.88
20,17,0.9143
20,18,0.8129
20,19,0.7763
